2013-12-08 17:30:33,-441
2013-12-08 17:30:34,153
2013-12-08 17:30:35,93
2013-12-08 17:30:37,92
2013-12-08 17:30:38,-854
2013-12-08 17:30:39,-480
2013-12-08 17:30:48,-460
2013-12-08 17:30:49,-286
2013-12-08 17:30:50,334
2013-12-08 17:30:51,207
2013-12-08 17:30:52,207
2013-12-08 17:30:53,-643
2013-12-08 17:30:54,-643
2013-12-08 17:30:55,-489
2013-12-08 17:31:02,-489
2013-12-08 17:31:03,-596
2013-12-08 17:31:04,-596
2013-12-08 17:31:05,178
2013-12-08 17:31:06,178
2013-12-08 17:31:07,241
2013-12-08 17:31:08,241
2013-12-08 17:31:09,-659
2013-12-08 17:31:10,-659
2013-12-08 17:31:11,-532
2013-12-08 17:31:18,-532
2013-12-08 17:31:19,-218
2013-12-08 17:31:20,380
2013-12-08 17:31:21,81
2013-12-08 17:31:22,81
2013-12-08 17:31:23,57
2013-12-08 17:31:24,-883
2013-12-08 17:31:25,-413
2013-12-08 17:31:26,-413
2013-12-08 17:31:27,-499
2013-12-08 17:31:34,-499
2013-12-08 17:31:35,-269
2013-12-08 17:31:36,443
2013-12-08 17:31:37,87
2013-12-08 17:31:38,87
2013-12-08 17:31:39,-101
2013-12-08 17:31:40,-869
2013-12-08 17:31:41,-485
2013-12-08 17:31:50,-498
2013-12-08 17:31:51,225
2013-12-08 17:31:54,225
2013-12-08 17:31:55,-844
2013-12-08 17:31:56,-844
2013-12-08 17:31:57,-406
2013-12-08 17:31:58,-406
2013-12-08 17:31:59,-508
2013-12-08 17:32:02,-508
2013-12-08 17:32:03,-190
2013-12-08 17:32:04,-190
2013-12-08 17:32:05,-528
2013-12-08 17:32:06,148
2013-12-08 17:32:07,81
2013-12-08 17:32:08,81
2013-12-08 17:32:09,-779
2013-12-08 17:32:10,-779
2013-12-08 17:32:11,-349
2013-12-08 17:32:14,-349
2013-12-08 17:32:15,-535
2013-12-08 17:32:18,-535
2013-12-08 17:32:19,-511
2013-12-08 17:32:20,-511
2013-12-08 17:32:21,185
2013-12-08 17:32:22,185
2013-12-08 17:32:23,6
2013-12-08 17:32:24,6
2013-12-08 17:32:25,-704
2013-12-08 17:32:26,-704
2013-12-08 17:32:27,-349
2013-12-08 17:32:30,-349
